!sil 1.0	sil
cummins 1.0	k ah m ih n z
cumulative 1.0	k y uw m y ax l ax t ih v
cunningham 1.0	k ah n ih ng hh ae m
cuomo 1.0	k w ow m ow
cuomo's 1.0	k w ow m ow z
cup 1.0	k ah p
cupboard 1.0	k ah b er d
cupboards 1.0	k ah b er d z
cupcake 1.0	k ah p k ey k
cupertino 1.0	k uw p er t iy n ow
cups 1.0	k ah p s
cur- 1.0	k er
curb 1.0	k er b
curbed 1.0	k er b d
curbs 1.0	k er b z
curbside 1.0	k er b s ay d
curbstone 1.0	k er b s t ow n
curd 1.0	k er d
cure 1.0	k y uh r
cure- 1.0	k y uh r
cured 1.0	k y uh r d
cures 1.0	k y uh r z
curfew 1.0	k er f y uw
curi- 1.0	k y uh r iy
curing 1.0	k y uh r ih ng
curiosity 1.0	k y uh r iy aa s ih t iy
curious 1.0	k y uh r iy ax s
curiously 1.0	k y uh r iy ax s l iy
curl 1.0	k er l
curled 1.0	k er l d
curling 1.0	k er l ih ng
curls 1.0	k er l z
curly 1.0	k er l iy
curr- 1.0	k er r
currency 1.0	k er r ih n s iy
current 1.0	k er r ih n t
currently 1.0	k er r ih n t l iy
currents 1.0	k er r ih n t s
curricula 1.0	k ax r ih k y ax l ax
curricular 1.0	k ax r ih k y ax l er
curriculum 1.0	k ax r ih k y ax l ax m
curriculums 1.0	k ax r ih k y ax l ax m z
curried 1.0	k er r iy d
curry 1.0	k er r iy
curse 1.0	k er s
cursed 1.0	k er s t
cursing 1.0	k er s ih ng
cursor 1.0	k er s er
cursory 1.0	k er s ax r iy
curtail 1.0	k er t ey l
curtailed 1.0	k er t ey l d
curtain 1.0	k er t en
curtains 1.0	k er t en z
curtis 1.0	k er t ih s
curve 1.0	k er v
curved 1.0	k er v d
curves 1.0	k er v z
curving 1.0	k er v ih ng
cus- 1.0	k ah s
cushion 1.0	k uh sh ih n
cushions 1.0	k uh sh ih n z
cushy 1.0	k uh sh iy
cuss 1.0	k ah s
custard 1.0	k ah s t er d
custer 1.0	k ah s t er
custer's 1.0	k ah s t er z
custodial 1.0	k ax s t ow d iy ax l
custodians 1.0	k ax s t ow d iy ih n z
custody 1.0	k ah s t ax d iy
custom 1.0	k ah s t ax m
customary 1.0	k ah s t ax m eh r iy
customer 1.0	k ah s t ax m er
customer's 1.0	k ah s t ax m er z
customers 1.0	k ah s t ax m er z
customize 1.0	k ah s t ax m ay z
customized 1.0	k ah s t ax m ay z d
customs 1.0	k ah s t ax m z
cut 1.0	k ah t
cut- 1.0	k ah t
cutback 1.0	k ah t b ae k
cutbacks 1.0	k ah t b ae k s
cute 1.0	k y uw t
cutest 1.0	k y uw t ih s t
cutesy 1.0	k y uw t s iy
cutie 1.0	k y uw t iy
cutlass 1.0	k ah t l ih s
cutoff 1.0	k ah t ao f
cutout 1.0	k ah t aw t
cuts 1.0	k ah t s
cutt- 1.0	k ah t
cutters 1.0	k ah t er z
cutthroat 1.0	k ah t th r ow t
cutting 1.0	k ah t ih ng
cuttings 1.0	k ah t ih ng z
cy 1.0	s ay
cyanide 1.0	s ay ax n ay d
cyc- 1.0	s ih k
cycle 1.0	s ay k ax l
cycled 1.0	s ay k ax l d
cycles 1.0	s ay k ax l z
cyclical 1.0	s ih k l ih k ax l
cycling 1.0	s ay k l ih ng
cyclist 1.0	s ay k l ih s t
cylinder 1.0	s ih l ih n d er
cylinders 1.0	s ih l ih n d er z
cynical 1.0	s ih n ih k ax l
cynicism 1.0	s ih n ih s ih z ax m
cynthia 1.0	s ih n th iy ax
cypress 1.0	s ay p r ih s
czar 1.0	z aa r
czar's 1.0	z aa r z
czars 1.0	z aa r z
czechoslovakia 1.0	ch eh k ax s l ax v aa k iy ax
czechoslovakian 1.0	ch eh k ax s l ax v aa k iy ih n
d 1.0	d 
d'arby 1.0	d aa r b iy
d'oeuvre 1.0	d er v
d'oeuvres 1.0	d er v z
d- 1.0	d
d. 1.0	d iy
d.'s 1.0	d iy z
d._a. 1.0	d iy ey
d._a.'s 1.0	d iy ey z
d._c. 1.0	d iy s iy
d._c.'s 1.0	d iy s iy z
d._f._m. 1.0	d iy eh f eh m
d._f._w. 1.0	d iy eh f d ah b ax l y uw
d._i._a. 1.0	d iy ay ey
d._i._s._d. 1.0	d iy ay eh s d iy
d._j. 1.0	d iy jh ey
d._l. 1.0	d iy eh l
d._m._c. 1.0	d iy eh m s iy
d._m._v. 1.0	d iy eh m v iy
d._m._z. 1.0	d iy eh m z iy
d._n._a. 1.0	d iy eh n ey
d._n._b. 1.0	d iy eh n b iy
d._n._c. 1.0	d iy eh n s iy
d._p._m._a. 1.0	d iy p iy eh m ey
d._p._w. 1.0	d iy p iy d ah b ax l y uw
d._s._p. 1.0	d iy eh s p iy
d._v. 1.0	d iy v iy
d._w._a. 1.0	d iy d ah b ax l y uw ey
d._w._i. 1.0	d iy d ah b ax l y uw ay
d._w._i.'s 1.0	d iy d ah b ax l y uw ay z
d._x. 1.0	d iy eh k s
da 1.0	d aa 
da- 1.0	d aa
da- 1.0	d ae
da- 1.0	d ae k s ih n d s
dab 1.0	d ae b
dabble 1.0	d ae b ax l
dabbled 1.0	d ae b ax l d
dachshund 1.0	d ae k s ih n d
dachshund 1.0	d ae k s ih n t
dachshunds 1.0	d ae k s ih n d s
dachshunds 1.0	d ae k s ih n t s
dad 1.0	d ae d
dad's 1.0	d ae d z
dad-in-law's 1.0	d ae d ih n l ao z
daddies 1.0	d ae d iy z
daddy 1.0	d ae d iy
daddy's 1.0	d ae d iy z
daders 1.0	d iy ey d iy er s
dadgum 1.0	d ae d g ah m
dado 1.0	d ey d ow
dads 1.0	d ae d z
daffodil 1.0	d ae f ax d ih l
daffodils 1.0	d ae f ax d ih l z
daffy 1.0	d ae f iy
dah 1.0	d ax
dahlmer 1.0	d ao l m er
dahmer 1.0	d aa m er
dahran 1.0	d aa r aa n
dailies 1.0	d ey l iy z
daily 1.0	d ey l iy
dainty 1.0	d ey n t iy
dairies 1.0	d ey r iy z
dairy 1.0	d ey r iy
daisy 1.0	d ey z iy
dakota 1.0	d ax k ow t ax
dakotas 1.0	d ax k ow t ax z
dal- 1.0	d ae l
dale 1.0	d ey l
dalgren 1.0	d aa l g r ih n
dalhart 1.0	d ae l hh aa r t
dall- 1.0	d ae l
dallas 1.0	d ae l ax s
dallas' 1.0	d ae l ax s
dallasite 1.0	d ae l ax s ay t
dalmarva 1.0	d ae l m ae r v aa
dalmatian 1.0	d ae l m ey sh ih n
dalmatians 1.0	d ae l m ey sh ih n z
dals 1.0	d aa l z
daltons 1.0	d ao l t ax n z
dam 1.0	d ae m
dam- 1.0	d ae m
damage 1.0	d ae m ih jh
damaged 1.0	d ae m ih jh d
damages 1.0	d ae m ih jh ih z
damaging 1.0	d ae m ih jh ih ng
damascus 1.0	d ax m ae s k ax s
dame 1.0	d ey m
damme 1.0	d ae m
dammed 1.0	d ae m d
damn 1.0	d ae m
damndest 1.0	d ae m d ih s t
damned 1.0	d ae m d
damon 1.0	d ey m ax n
damp 1.0	d ae m p
dampener 1.0	d ae m p n er
damper 1.0	d ae m p er
dampness 1.0	d ae m p n ih s
dams 1.0	d ae m z
dan 1.0	d ae n
dan's 1.0	d ae n z
dan- 1.0	d ey n
dana 1.0	d ey n ax
danc- 1.0	d ae n s
dance 1.0	d ae n s
danced 1.0	d ae n s t
dancer 1.0	d ae n s er
dancers 1.0	d ae n s er z
dances 1.0	d ae n s ih z
dancing 1.0	d ae n s ih ng
dandelion 1.0	d ae n d ih l ay ax n
dandelions 1.0	d ae n d ih l ay ax n z
dandruff 1.0	d ae n d r ax f
dandy 1.0	d ae n d iy
dane 1.0	d ey n
danes 1.0	d ey n z
danforth 1.0	d ae n f ow r th
dang 1.0	d ae ng
danger 1.0	d ey n jh er
dangerfield 1.0	d ey n jh er f iy l d
dangerous 1.0	d ey n jh ax r ax s
dangers 1.0	d ey n jh er z
dangling 1.0	d ae ng g ax l ih ng
daniel 1.0	d ae n y ax l
danielle 1.0	d ae n y eh l
daniels 1.0	d ae n y ax l z
danny 1.0	d ae n iy
danny's 1.0	d ae n iy z
danson 1.0	d ae n s ax n
dantely 1.0	d ae n t eh l iy
danza 1.0	d ae n z ax
daphne 1.0	d ae f n iy
dapper 1.0	d ae p er
darc 1.0	d aa r k
dare 1.0	d ey r
dares 1.0	d ey r z
daring 1.0	d ey r ih ng
dark 1.0	d aa r k
darker 1.0	d aa r k er
darkman 1.0	d aa r k m ax n
darkness 1.0	d aa r k n ih s
darkroom 1.0	d aa r k r uw m
darlene 1.0	d aa r l iy n
darling 1.0	d aa r l ih ng
darn 1.0	d aa r n
darndest 1.0	d aa r n d ih s t
darned 1.0	d aa r n d
darns 1.0	d aa r n z
darrell 1.0	d ae r ax l
darryl 1.0	d ae r ax l
dart 1.0	d aa r t
dart's 1.0	d aa r t s
darts 1.0	d aa r t s
dash 1.0	d ae sh
dashboard 1.0	d ae sh b ow r d
dashes 1.0	d ae sh ih z
dashing 1.0	d ae sh ih ng
data 1.0	d ae t ax
data 1.0	d ey t ax
database 1.0	d ae t ax b ey s
databases 1.0	d ae t ax b ey s ih z
dataease 1.0	d ae t ax iy z
date 1.0	d ey t
dated 1.0	d ey t ih d
dates 1.0	d ey t s
dating 1.0	d ey t ih ng
datsun 1.0	d aa t s ax n
datsuns 1.0	d aa t s ax n z
daugh- 1.0	d ao
daught- 1.0	d ao t
daughter 1.0	d ao t er
daughter's 1.0	d ao t er z
daughter-in-law 1.0	d ao t ax r ih n l ao
daughter-in-law's 1.0	d ao t er ih n l ao z
daughters 1.0	d ao t er z
daughters-in-laws 1.0	d ao t er z ih n l ao z
daur 1.0	d ao r
dave 1.0	d ey v
david 1.0	d ey v ih d
davidson 1.0	d ey v ih d s ax n
davis 1.0	d ey v ih s
davy 1.0	d ey v iy
dawdle 1.0	d ao d ax l
dawes 1.0	d ao z
dawn 1.0	d ao n
dawned 1.0	d ao n d
dawns 1.0	d ao n z
day 1.0	d ey
day'll 1.0	d ey ax l
day's 1.0	d ey z
day-to-day 1.0	d ey t ax d ey
daydream 1.0	d ey d r iy m
daylight 1.0	d ey l ay t
daylilies 1.0	d ey l ih l ih z
days 1.0	d ey z
dayt- 1.0	d ey t
daytime 1.0	d ey t ay m
daytimes 1.0	d ey t ay m z
dayton 1.0	d ey t en
daytona 1.0	d ey t ow n ax
daytonas 1.0	d ey t ow n ax z
dcom 1.0	d iy k aa m
de 1.0	d eh
de- 1.0	d
de- 1.0	d ax
de- 1.0	d eh
de- 1.0	d ih
de- 1.0	d iy
dea 1.0	d iy iy ay
dea- 1.0	d eh
dea- 1.0	d iy
dea- 1.0	d iy l er
deacons 1.0	d iy k ax n z
deactivated 1.0	d iy ae k t ih v ey t ih d
dead 1.0	d eh d
dead's 1.0	d eh d z
deader 1.0	d eh d er
deadliest 1.0	d eh d l iy ih s t
deadline 1.0	d eh d l ay n
deadlocked 1.0	d eh d l aa k t
deadly 1.0	d eh d l iy
deaf 1.0	d eh f
deal 1.0	d iy l
dealer 1.0	d iy l er
dealer's 1.0	d iy l er z
dealers 1.0	d iy l er z
dealership 1.0	d iy l er sh ih p
dealerships 1.0	d iy l er sh ih p s
dealie 1.0	d iy l iy
dealing 1.0	d iy l ih ng
dealings 1.0	d iy l ih ng z
deals 1.0	d iy l z
dealt 1.0	d eh l t
dean 1.0	d iy n
dean's 1.0	d iy n z
deanna 1.0	d iy ae n ax
deanne 1.0	d iy ae n
deans 1.0	d iy n z
dear 1.0	d iy r
dearborn 1.0	d iy r b ow r n
dearly 1.0	d iy r l iy
death 1.0	d eh th
death's 1.0	d eh th s
deaths 1.0	d eh th s
deb 1.0	d eh b
deba- 1.0	d ih b ey
debacle 1.0	d ey b aa k ax l
debatable 1.0	d ih b ey t ax b ax l
debate 1.0	d ih b ey t
debated 1.0	d ih b ey t ih d
debates 1.0	d ih b ey t s
debating 1.0	d ih b ey t ih ng
debbie 1.0	d eh b iy
debilitated 1.0	d ax b ih l ih t ey t ih d
debit 1.0	d eh b ih t
debiting 1.0	d eh b ih t ih ng
debits 1.0	d eh b ih t s
debone 1.0	d ih b ow n
debris 1.0	d ax b r iy
debt 1.0	d eh t
debtor 1.0	d eh t er
debtor's 1.0	d eh t er z
debts 1.0	d eh t s
debtwise 1.0	d eh t w ay z
debunking 1.0	d iy b ah ng k ih ng
debussy 1.0	d eh b y ax s iy
debut 1.0	d ey b y uw
dec- 1.0	d ih s
decade 1.0	d eh k ey d
decades 1.0	d eh k ey d z
decay 1.0	d ih k ey
decaying 1.0	d ih k ey ih ng
deceased 1.0	d ih s iy s t
deceit 1.0	d ih s iy t
deceived 1.0	d ih s iy v d
deceiving 1.0	d ih s iy v ih ng
decelerating 1.0	d ih s eh l ax r ey t ih ng
december 1.0	d ih s eh m b er
decent 1.0	d iy s ih n t
deceptive 1.0	d ih s eh p t ih v
deci- 1.0	d ih s ay
deci- 1.0	d ih s ih
decide 1.0	d ih s ay d
decided 1.0	d ih s ay d ih d
decidedly 1.0	d ih s ay d ih d l iy
decides 1.0	d ih s ay d z
deciding 1.0	d ih s ay d ih ng
decifit 1.0	d eh s iy f iy t
decimal 1.0	d eh s ih m ax l
decimated 1.0	d eh s ih m ey t ih d
decimeter 1.0	d eh s ih m iy t er
decipher 1.0	d ih s ay f er
decision 1.0	d ih s ih zh ih n
decision's 1.0	d ih s ih zh ih n z
decisions 1.0	d ih s ih zh ih n z
decisive 1.0	d ih s ay s ih v
deck 1.0	d eh k
deck- 1.0	d eh k
decked 1.0	d eh k t
decker 1.0	d eh k er
decking 1.0	d eh k ih ng
decks 1.0	d eh k s
declare 1.0	d ih k l ey r
declared 1.0	d ih k l ey r d
declaring 1.0	d ih k l ey r ih ng
declawed 1.0	d iy k l ao d
decline 1.0	d ih k l ay n
declined 1.0	d ih k l ay n d
declining 1.0	d ih k l ay n ih ng
decode 1.0	d iy k ow d
decoding 1.0	d iy k ow d ih ng
decomposable 1.0	d iy k ax m p ow z ax b ax l
decompose 1.0	d iy k ax m p ow z
decomposed 1.0	d iy k ax m p ow z d
decomposes 1.0	d iy k ax m p ow z ih z
decontrolling 1.0	d iy k ax n t r ow l ih ng
decor 1.0	d ey k ow r
decor- 1.0	d eh k ax r
decorate 1.0	d eh k ax r ey t
decorated 1.0	d eh k ax r ey t ih d
decorating 1.0	d eh k ax r ey t ih ng
decoration 1.0	d eh k ax r ey sh ih n
decorations 1.0	d eh k ax r ey sh ih n z
decorative 1.0	d eh k ax r ax t ih v
decorator 1.0	d eh k ax r ey t er
decorous 1.0	d eh k ax r ih s
decorum 1.0	d ih k ow r ax m
decrease 1.0	d ih k r iy s
decreased 1.0	d ih k r iy s t
decreases 1.0	d ih k r iy s ih z
decreasing 1.0	d ih k r iy s ih ng
decree 1.0	d ih k r iy
decrimi 1.0	d ey k r ih m ih
decriminalizing 1.0	d iy k r ih m ih n ax l ay z ih ng
dedicate 1.0	d eh d ih k ey t
dedicated 1.0	d eh d ih k ey t ih d
dedication 1.0	d eh d ih k ey sh ih n
deduc 1.0	d ih d ah k
deduce 1.0	d ih d uw s
deduct 1.0	d ih d ah k t
deducted 1.0	d ih d ah k t ih d
deductible 1.0	d ih d ah k t ax b ax l
deductible's 1.0	d ih d ah k t ax b ax l z
deductibles 1.0	d ih d ah k t ax b ax l z
deducting 1.0	d ih d ah k t ih ng
deduction 1.0	d ih d ah k sh ih n
deductions 1.0	d ih d ah k sh ih n z
deductor 1.0	d ih d ah k t er
dee 1.0	d iy
deed 1.0	d iy d
deeded 1.0	d iy d ih d
deedee 1.0	d iy d iy
deeds 1.0	d iy d z
deejays 1.0	d iy jh ey z
deem 1.0	d iy m
deemed 1.0	d iy m d
deep 1.0	d iy p
deep-rooted 1.0	d iy p r uh t ih d
deeper 1.0	d iy p er
deeply 1.0	d iy p l iy
deer 1.0	d iy r
deers 1.0	d iy r z
def- 1.0	d eh f
default 1.0	d ih f ao l t
defaults 1.0	d ih f ao l t s
defeat 1.0	d ih f iy t
defeated 1.0	d ih f iy t ih d
defeating 1.0	d ih f iy t ih ng
defeats 1.0	d ih f iy t s
defect 1.0	d ih f eh k t
defective 1.0	d ih f eh k t ih v
defen- 1.0	d ih f eh n
defend 1.0	d ih f eh n d
defendant 1.0	d ih f eh n d ih n t
defendant's 1.0	d ih f eh n d ih n t s
defendants 1.0	d ih f eh n d ih n t s
defended 1.0	d ih f eh n d ih d
defender 1.0	d ih f eh n d er
defenders 1.0	d ih f eh n d er z
defending 1.0	d ih f eh n d ih ng
defends 1.0	d ih f eh n d z
defense 1.0	d ih f eh n s
defense's 1.0	d ih f eh n s ih z
defenses 1.0	d ih f eh n s ih z
defensive 1.0	d ih f eh n s ih v
defensives 1.0	d ih f eh n s ih v s
deferred 1.0	d ih f er d
defi- 1.0	d eh f ih
defiantly 1.0	d ih f ay ih n t l iy
deficiencies 1.0	d ih f ih sh ih n s iy z
deficiency 1.0	d ih f ih sh ih n s iy
deficient 1.0	d ih f ih sh ih n t
deficit 1.0	d eh f ih s ih t
deficit's 1.0	d eh f ih s ih t s
deficits 1.0	d eh f ih s ih t s
define 1.0	d ih f ay n
defined 1.0	d ih f ay n d
defines 1.0	d ih f ay n z
defini- 1.0	d eh f ih n ih
defining 1.0	d ih f ay n ih ng
definite 1.0	d eh f ih n ih t
definitely 1.0	d eh f ih n ih t l iy
definition 1.0	d eh f ih n ih sh ih n
definitions 1.0	d eh f ih n ih sh ih n z
definitive 1.0	d ih f ih n ih t ih v
deflationary 1.0	d ih f l ey sh ih n eh r iy
deflator 1.0	d ih f l ey t er
defoliants 1.0	d iy f ow l iy ih n t s
defray 1.0	d ih f r ey
defraying 1.0	d ih f r ey ih ng
defrays 1.0	d ih f r ey z
defrost 1.0	d ih f r ao s t
defrosting 1.0	d ih f r ao s t ih ng
defunct 1.0	d ih f ah ng k t
deg- 1.0	d ax g
degenerates 1.0	d ih jh eh n ax r ih t s
degenerating 1.0	d ih jh eh n ax r ey t ih ng
degenerative 1.0	d ih jh eh n ax r ax t ih v
degrade 1.0	d ih g r ey d
degraded 1.0	d ih g r ey d ih d
degrading 1.0	d ih g r ey d ih ng
degray 1.0	d iy g r ey
degree 1.0	d ax g r iy
degreed 1.0	d ax g r iy d
degrees 1.0	d ax g r iy z
deinking 1.0	d iy ih ng k ih ng
dekalb 1.0	d ih k ae l b
del 1.0	d eh l
del- 1.0	d eh l
delancey 1.0	d ax l ae n s iy
delancy 1.0	d ax l ae n s iy
delaware 1.0	d eh l ax w ey r
delay 1.0	d ax l ey
delayed 1.0	d ax l ey d
delays 1.0	d ax l ey z
delco 1.0	d eh l k ow
delegate 1.0	d eh l ax g ey t
delegates 1.0	d eh l ax g ey t s
deleted 1.0	d ih l iy t ih d
deleting 1.0	d ih l iy t ih ng
delford 1.0	d eh l f er d
deli 1.0	d eh l iy
deli- 1.0	d ih l ih
deliberate 1.0	d ih l ih b ax r ey t
deliberated 1.0	d ih l ih b ax r ey t ih d
deliberately 1.0	d ih l ih b ax r ih t l iy
deliberating 1.0	d ih l ih b ax r ey t ih ng
deliberation 1.0	d ih l ih b ax r ey sh ih n
deliberations 1.0	d ih l ih b ax r ey sh ih n z
delicacies 1.0	d eh l ih k ax s iy z
delicacy 1.0	d eh l ih k ax s iy
delicate 1.0	d eh l ih k ax t
delicately 1.0	d eh l ih k ax t l iy
delicatessen 1.0	d eh l ih k ax t eh s ax n
delicious 1.0	d ih l ih sh ih s
delight 1.0	d ih l ay t
delighted 1.0	d ih l ay t ih d
delightful 1.0	d ih l ay t f ax l
delights 1.0	d ih l ay t s
delineated 1.0	d ih l ih n iy ey t ih d
delinquency 1.0	d ih l ih ng k w ih n s iy
delinquent 1.0	d ih l ih ng k w ih n t
delinquents 1.0	d ih l ih n k w ih n t s
deliver 1.0	d ih l ih v er
deliverance 1.0	d ih l ih v ax r ih n s
delivered 1.0	d ih l ih v er d
delivering 1.0	d ih l ih v ax r ih ng
delivers 1.0	d ih l ih v er z
delivery 1.0	d ih l ih v ax r iy
dell 1.0	d eh l
dells 1.0	d eh l z
delphene 1.0	d eh l f ih n
delta 1.0	d eh l t ax
deltaing 1.0	d eh l t ax ih ng
deltoids 1.0	d eh l t oy d z
delus- 1.0	d ih l uw zh
delusions 1.0	d ih l uw zh ih n z
delves 1.0	d eh l v z
dem- 1.0	d ax m
deman- 1.0	d ax m ae n
demand 1.0	d ax m ae n d
demanded 1.0	d ax m ae n d ih d
demanding 1.0	d ax m ae n d ih ng
demands 1.0	d ax m ae n d z
demarcation 1.0	d iy m aa r k ey sh ih n
demeaning 1.0	d ih m iy n ih ng
demeanor 1.0	d ih m iy n er
dementia 1.0	d ih m eh n sh ax
demi 1.0	d eh m iy
demilitarize 1.0	d iy m ih l ih t ax r ay z
demise 1.0	d ax m ay z
demo 1.0	d eh m ow
demo- 1.0	d eh m ax
democ- 1.0	d eh m ax k
democra- 1.0	d ax m aa k r ax
democracies 1.0	d ax m aa k r ax s iy z
democracy 1.0	d ax m aa k r ax s iy
democrat 1.0	d eh m ax k r ae t
democratic 1.0	d eh m ax k r ae t ih k
democratically 1.0	d eh m ax k r ae t ih k l iy
democrats 1.0	d eh m ax k r ae t s
demographic 1.0	d eh m ax g r ae f ih k
demographically 1.0	d eh m ax g r ae f ih k l iy
demographics 1.0	d eh m ax g r ae f ih k s
demolish 1.0	d ax m aa l ih sh
demolished 1.0	d ax m aa l ih sh t
demolishing 1.0	d ax m aa l ih sh ih ng
demonstrate 1.0	d eh m ax n s t r ey t
demonstrated 1.0	d eh m ax n s t r ey t ih d
demonstrating 1.0	d eh m ax n s t r ey t ih ng
demonstration 1.0	d eh m ax n s t r ey sh ih n
demonstrations 1.0	d eh m ax n s t r ey sh ih n z
demonstrative 1.0	d ax m aa n s t r ax t ih v
demonstrator 1.0	d eh m ax n s t r ey t er
demos 1.0	d eh m ow z
demoted 1.0	d ax m ow t ih d
den 1.0	d eh n
den- 1.0	d eh n
denard 1.0	d ih n aa r d
denial 1.0	d ih n ay ax l
denied 1.0	d ih n ay d
denies 1.0	d ih n ay z
denim 1.0	d eh n ih m
deniro 1.0	d ax n iy r ow
denise 1.0	d ax n iy s
denison 1.0	d eh n ih s ax n
denmark 1.0	d eh n
dennehe 1.0	d eh n ih hh iy
dennis 1.0	d eh n ih s
dennison 1.0	d eh n ih s ih n
denny 1.0	d eh n iy
denny's 1.0	d eh n iy z
denomination 1.0	d ih n aa m ih n ey sh ih n
denominator 1.0	d ih n aa m ih n ey t er
denotes 1.0	d ih n ow t s
denounce 1.0	d ih n aw n s
dens 1.0	d eh n z
dense 1.0	d eh n s
densely 1.0	d eh n s l iy
density 1.0	d eh n s ih t iy
dent 1.0	d eh n t
dental 1.0	d eh n t ax l
dentals 1.0	d eh n t ax l z
dented 1.0	d eh n t ih d
dentist 1.0	d eh n t ih s t
dentistry 1.0	d eh n t ih s t r iy
dentists 1.0	d eh n t ih s t s
dentists' 1.0	d eh n t ih s t s
denton 1.0	d eh n t en
dents 1.0	d eh n t s
denture 1.0	d eh n ch er
denver 1.0	d eh n v er
denver's 1.0	d eh n v er z
deny 1.0	d ih n ay
denying 1.0	d ih n ay ih ng
dep- 1.0	d ih p
depar- 1.0	d ih p aa r
department 1.0	d ih p aa r t m ih n t
departmentalize 1.0	d iy p aa r t m eh n t ax l ay z
departmentalized 1.0	d iy p aa r t m eh n t ax l ay z d
departments 1.0	d ih p aa r t m ih n t s
departure 1.0	d ih p aa r ch er
depaul 1.0	d ax p ao l
depe- 1.0	d ih p eh
depen- 1.0	d ih p eh n
depend 1.0	d ih p eh n d
depend- 1.0	d ih p eh n d
dependability 1.0	d ih p eh n d ax b ih l ih t iy
dependable 1.0	d ih p eh n d ax b ax l
depended 1.0	d ih p eh n d ih d
dependence 1.0	d ih p eh n d ih n s
dependencies 1.0	d ih p eh n d ih n s iy z
dependency 1.0	d ih p eh n d ih n s iy
dependent 1.0	d ih p eh n d ih n t
dependents 1.0	d ih p eh n d ih n t s
depending 1.0	d ih p eh n d ih ng
depends 1.0	d ih p eh n d z
depends 1.0	p eh n d z
depicted 1.0	d ih p ih k t ih d
depicting 1.0	d ih p ih k t ih ng
deplete 1.0	d ih p l iy t
depleter 1.0	d ih p l iy t er
depleting 1.0	d ih p l iy t ih ng
depletion 1.0	d ih p l iy sh ih n
deportation 1.0	d iy p ow r t ey sh ih n
deported 1.0	d ih p ow r t ih d
deposit 1.0	d ih p aa z ih t
deposited 1.0	d ih p aa z ih t ih d
depositing 1.0	d ih p aa z ih t ih ng
depositor 1.0	d ih p aa z ih t er
depositors 1.0	d ih p aa z ih t er z
depository 1.0	d ih p aa z ih t ow r iy
deposits 1.0	d ih p aa z ih t s
depot 1.0	d iy p ow
depp 1.0	d eh p
depravity 1.0	d ih p r ae v ih t iy
depreciate 1.0	d ih p r iy sh iy ey t
depreciated 1.0	d ih p r iy sh iy ey t ih d
depreciates 1.0	d ih p r iy s iy ey t s
depreciation 1.0	d ih p r iy sh iy ey sh ih n
depress 1.0	d ih p r eh s
depressant 1.0	d ih p r eh s ih n t
depressants 1.0	d ih p r eh s ih n t s
depressed 1.0	d ih p r eh s t
depressing 1.0	d ih p r eh s ih ng
depression 1.0	d ih p r eh sh ih n
depri- 1.0	d ih p r ay
deprivation 1.0	d eh p r ih v ey sh ih n
deprived 1.0	d ih p r ay v d
depth 1.0	d eh p th
deputies 1.0	d eh p y ax t iy z
deputy 1.0	d eh p y ax t iy
derailment 1.0	d ih r ey l m ih n t
deranged 1.0	d ih r ey n jh d
derby 1.0	d er b iy
deregister 1.0	d iy r eh jh ih s t er
deregulate 1.0	d iy r eh g y ax l ey t
deregulated 1.0	d iy r eh g y ax l ey t ih d
deregulation 1.0	d iy r eh g y ax l ey sh ih n
derek 1.0	d eh r ih k
derive 1.0	d ih r ay v
dermatology 1.0	d er m ax t aa l ax jh iy
des 1.0	d eh
des- 1.0	d ih s
des- 1.0	d ih z
descend 1.0	d ih s eh n d
descendancy 1.0	d ih s eh n d ih n s iy
descendants 1.0	d ih s eh n d ih n t s
descent 1.0	d ih s eh n t
describe 1.0	d ih s k r ay b
described 1.0	d ih s k r ay b d
describes 1.0	d ih s k r ay b z
describing 1.0	d ih s k r ay b ih ng
description 1.0	d ih s k r ih p sh ih n
descriptions 1.0	d ih s k r ih p sh ih n z
descriptive 1.0	d ih s k r ih p t ih v
desert 1.0	d eh z er t
deserted 1.0	d ih z er t ih d
deserts 1.0	d ih z er t s
deserve 1.0	d ih z er v
deserved 1.0	d ih z er v d
deserves 1.0	d ih z er v z
deserving 1.0	d ih z er v ih ng
design 1.0	d ih z ay n
designate 1.0	d eh z ih g n ey t
designated 1.0	d eh z ih g n ey t ih d
designations 1.0	d eh z ih g n ey sh ih n z
designed 1.0	d ih z ay n d
designer 1.0	d ih z ay n er
designer's 1.0	d ih z ay n er z
designers 1.0	d ih z ay n er z
designing 1.0	d ih z ay n ih ng
designs 1.0	d ih z ay n z
desirabilities 1.0	d ih z ay r ax b ih l ih t iy s
desirable 1.0	d ih z ay r ax b ax l
desire 1.0	d ih z ay r
desired 1.0	d ih z ay r d
desires 1.0	d ih z ay r z
desk 1.0	d eh s k
desks 1.0	d eh s k s
desktop 1.0	d eh s k t aa p
desolate 1.0	d eh s ax l ey t
desperate 1.0	d eh s p ax r ih t
desperately 1.0	d eh s p ax r ax t l iy
despise 1.0	d ih s p ay z
despite 1.0	d ih s p ay t
dessert 1.0	d ih z er t
desserts 1.0	d ih z er t s
destabilization 1.0	d iy s t ey b ih l ih z ey sh ih n
destabilize 1.0	d iy s t ey b ax l ay z
destabulation 1.0	d iy s t ey b y uw l ey sh ih n
destin 1.0	d eh s t ih n
destination 1.0	d eh s t ih n ey sh ih n
